teamName,saison_label,points,goals,opponentGoals,goalDiff,won,lost,draw,platzierung
FC Bayern München,2022/23,71,92,38,54,21,5,8,1
Borussia Dortmund,2022/23,71,83,44,39,22,7,5,2
RB Leipzig,2022/23,66,64,41,23,20,8,6,3
1. FC Union Berlin,2022/23,62,51,38,13,18,8,8,4
SC Freiburg,2022/23,59,51,44,7,17,9,8,5
Bayer 04 Leverkusen,2022/23,50,57,49,8,14,12,8,6
Eintracht Frankfurt,2022/23,50,58,52,6,13,10,11,7
VfL Wolfsburg,2022/23,49,57,48,9,13,11,10,8
1. FSV Mainz 05,2022/23,46,54,55,-1,12,12,10,9
Borussia Mönchengladbach,2022/23,43,52,55,-3,11,13,10,10
1. FC Köln,2022/23,42,49,54,-5,10,12,12,11
TSG Hoffenheim,2022/23,36,48,57,-9,10,18,6,12
SV Werder Bremen,2022/23,36,51,64,-13,10,18,6,13
VfL Bochum,2022/23,35,40,72,-32,10,19,5,14
FC Augsburg,2022/23,34,42,63,-21,9,18,7,15
VfB Stuttgart,2022/23,33,45,57,-12,7,15,12,16
FC Schalke 04,2022/23,31,35,71,-36,7,17,10,17
Hertha BSC,2022/23,29,42,69,-27,7,19,8,18
Bayer 04 Leverkusen,2023/24,90,89,24,65,28,0,6,1
VfB Stuttgart,2023/24,73,78,39,39,23,7,4,2
FC Bayern München,2023/24,72,94,45,49,23,8,3,3
RB Leipzig,2023/24,65,77,39,38,19,7,8,4
Borussia Dortmund,2023/24,63,68,43,25,18,7,9,5
Eintracht Frankfurt,2023/24,47,51,50,1,11,9,14,6
TSG Hoffenheim,2023/24,46,66,66,0,13,14,7,7
1. FC Heidenheim 1846,2023/24,42,50,55,-5,10,12,12,8
SV Werder Bremen,2023/24,42,48,54,-6,11,14,9,9
SC Freiburg,2023/24,42,45,58,-13,11,14,9,10
FC Augsburg,2023/24,39,50,60,-10,10,15,9,11
VfL Wolfsburg,2023/24,37,41,56,-15,10,17,7,12
1. FSV Mainz 05,2023/24,35,39,51,-12,7,13,14,13
Borussia Mönchengladbach,2023/24,34,56,67,-11,7,14,13,14
1. FC Union Berlin,2023/24,33,33,58,-25,9,19,6,15
VfL Bochum,2023/24,33,42,74,-32,7,15,12,16
1. FC Köln,2023/24,27,28,60,-32,5,17,12,17
SV Darmstadt 98,2023/24,17,30,86,-56,3,23,8,18
FC Bayern München,2024/25,82,99,32,67,25,2,7,1
Bayer 04 Leverkusen,2024/25,69,72,43,29,19,3,12,2
Eintracht Frankfurt,2024/25,60,68,46,22,17,8,9,3
Borussia Dortmund,2024/25,57,71,51,20,17,11,6,4
SC Freiburg,2024/25,55,49,53,-4,16,11,7,5
1. FSV Mainz 05,2024/25,52,55,43,12,14,10,10,6
RB Leipzig,2024/25,51,53,48,5,13,9,12,7
SV Werder Bremen,2024/25,51,54,57,-3,14,11,9,8
VfB Stuttgart,2024/25,50,64,53,11,14,12,8,9
Borussia Mönchengladbach,2024/25,45,55,57,-2,13,15,6,10
VfL Wolfsburg,2024/25,43,56,54,2,11,13,10,11
FC Augsburg,2024/25,43,35,51,-16,11,13,10,12
1. FC Union Berlin,2024/25,40,35,51,-16,10,14,10,13
FC St. Pauli,2024/25,32,28,41,-13,8,18,8,14
TSG Hoffenheim,2024/25,32,46,68,-22,7,16,11,15
1. FC Heidenheim 1846,2024/25,29,37,64,-27,8,21,5,16
Holstein Kiel,2024/25,25,49,80,-31,6,21,7,17
VfL Bochum,2024/25,25,33,67,-34,6,21,7,18
